amenity:hospital,amenity:clinic,amenity:pharmacy,healthcare:doctor,healthcare:centre,amenity:dentist,amenity:nursing_home,building,amenity:school,amenity:place_of_worship,County
0,0,0,0,0,0,0,1559,0,0,Kisii
1,0,0,0,0,0,0,1925,2,1,Kisumu
3,0,3,0,0,0,0,1247,18,10,Laikipia
0,0,0,0,0,0,0,0,1,0,Laikipia
0,0,0,0,0,0,0,1695,0,0,Kisumu
3,1,2,0,0,0,0,1887,2,3,Mombasa
0,0,0,0,0,0,0,2162,0,0,Kisii
0,0,0,0,0,0,0,213,2,1,Meru
1,0,0,0,0,0,0,17,1,1,Nyamira
0,0,0,0,0,0,0,459,0,0,Nyamira
1,0,0,0,0,0,0,1,2,2,Kisii
0,0,0,0,0,0,0,40,0,0,Nyamira
10,7,19,0,0,0,0,7713,42,36,Kisumu
0,0,0,0,0,0,0,183,2,4,Kiambu
5,0,0,0,0,0,0,4708,7,4,Nyeri
0,0,0,0,0,0,0,744,8,0,Kiambu
0,0,0,0,0,0,0,684,0,0,Kisii
0,0,0,0,0,0,0,988,3,0,Homa Bay
1,0,0,0,0,0,0,1266,1,1,Migori
1,1,0,0,0,0,0,1574,5,0,Nakuru
1,0,0,0,0,0,0,0,1,0,Nyandarua
0,0,0,0,0,0,0,320,5,5,Embu
0,0,0,0,0,0,0,841,0,1,Narok
0,0,0,0,0,0,0,0,0,0,West Pokot
0,0,0,0,0,0,0,1673,0,0,Nyeri
0,0,0,0,0,0,0,265,0,0,Migori
0,0,0,0,0,0,0,1337,2,2,Nyeri
0,0,0,0,0,0,0,0,0,0,Kwale
4,0,4,0,0,0,0,548,7,18,Mombasa
1,0,0,0,0,0,0,1822,5,1,Migori
1,0,0,0,0,0,0,418,1,1,Nyandarua
0,0,0,0,0,0,0,71,0,0,Uasin Gishu
2,0,0,0,0,0,0,4391,2,5,Nakuru
0,0,2,0,0,0,0,2377,4,2,Kisumu
1,0,0,0,0,0,0,357,2,1,Mombasa
1,1,0,0,0,0,0,3178,6,11,Busia
15,2,14,0,0,0,0,4493,145,39,Nairobi
7,1,0,0,0,0,0,5199,17,5,Nairobi
0,0,0,0,0,0,0,2460,2,1,Kisumu
1,0,0,0,0,0,0,878,0,0,Uasin Gishu
2,0,0,0,0,0,0,5165,3,3,Homa Bay
7,0,0,0,0,0,0,26,4,3,Kiambu
11,15,16,0,0,2,0,3864,72,29,Nairobi
9,0,2,0,0,0,0,863,3,3,Kisii
0,0,0,0,0,0,0,1960,2,0,Homa Bay
0,0,0,0,0,0,0,5882,0,0,Mandera
0,0,0,0,0,0,0,726,0,0,Nakuru
2,1,0,0,0,0,0,1040,8,1,Taita Taveta
2,0,0,0,0,0,0,2865,1,2,Migori
0,0,0,0,0,0,0,248,0,0,Kericho
5,3,0,0,0,0,0,1940,6,6,Nairobi
1,1,0,0,0,0,0,666,11,2,Kiambu
0,0,0,0,0,0,0,3446,0,0,Laikipia
0,0,0,0,0,0,0,126,1,1,Embu
0,0,0,0,0,0,0,0,0,0,Trans Nzoia
0,0,0,0,0,0,0,169,0,0,Siaya
2,0,1,0,0,0,0,3240,3,3,Narok
0,0,0,0,0,0,0,42,3,0,Kirinyaga
8,2,6,0,0,0,3,11423,12,12,Wajir
2,2,0,0,0,0,0,690,5,1,Mombasa
0,0,0,0,0,0,0,0,0,0,Kilifi
0,0,0,0,0,0,0,149,3,1,Siaya
