building,amenity,amenity:school,amenity:hospital,amenity:restaurant,amenity:cafe,shop,tourism,tourism:hotel,tourism:museum,leisure,leisure:park,historic,amenity:place_of_worship,County
259,0,0,0,0,0,0,0,0,0,0,0,0,0,Nyamira
409,4,0,0,0,0,0,0,0,0,0,0,0,0,West Pokot
4777,2,2,0,0,0,0,0,0,0,0,0,0,0,Mandera
962,17,4,0,2,0,1,0,0,0,5,1,0,0,Kiambu
814,41,4,3,2,1,3,4,4,0,1,0,0,3,Nyeri
6814,38,9,2,1,0,7,7,7,0,2,0,0,7,Garissa
131,49,1,2,8,0,18,8,6,1,2,0,0,6,Trans Nzoia
20,13,6,1,0,0,1,1,0,0,0,0,0,2,Kisii
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Machakos
2899,6,0,0,0,0,0,0,0,0,0,0,0,0,Mombasa
1017,0,0,0,0,0,0,0,0,0,0,0,0,0,Makueni
2268,18,0,0,6,0,0,2,1,0,5,0,0,1,Kilifi
7777,22,2,2,0,0,1,1,1,0,1,0,0,1,Mombasa
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kilifi
223,31,0,1,2,1,11,6,5,1,3,3,0,2,Meru
0,1,1,0,0,0,0,0,0,0,0,0,0,0,Nyandarua
771,9,5,0,1,0,0,1,1,0,0,0,0,1,Nyandarua
46,3,2,0,0,0,0,0,0,0,1,0,0,0,Machakos
476,173,7,4,27,6,33,41,18,1,30,2,6,24,Mombasa
0,6,0,0,0,0,0,0,0,0,0,0,0,0,Busia
586,0,0,0,0,0,0,0,0,0,0,0,0,0,Nyamira
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nyandarua
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marsabit
285,8,2,0,0,0,0,0,0,0,2,0,0,3,Siaya
555,0,0,0,0,0,0,0,0,0,0,0,0,0,Nyeri
17,4,0,0,0,0,0,2,1,0,2,0,0,0,Kajiado
49,1,0,0,0,0,0,2,1,0,3,0,0,0,Kajiado
2643,138,11,4,10,1,26,19,15,0,17,4,1,5,Nakuru
0,1,0,0,0,0,0,0,0,0,0,0,0,0,Kilifi
27,2,0,0,0,0,0,0,0,0,0,0,0,0,Busia
507,0,0,0,0,0,0,0,0,0,0,0,0,0,Homa Bay
2,0,0,0,0,0,0,0,0,0,2,2,0,0,Meru
0,4,0,0,0,0,0,0,0,0,0,0,0,0,Busia
0,2,0,0,0,0,0,0,0,0,0,0,0,0,Busia
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Garissa
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Garissa
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meru
4265,24,0,1,9,0,1,8,4,2,18,6,3,5,Kilifi
6475,119,88,0,2,0,2,2,0,0,2,0,1,4,Nairobi
3154,20,1,1,0,0,1,0,0,0,3,0,0,1,Mombasa
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meru
6,0,0,0,0,0,0,0,0,0,0,0,0,0,Uasin Gishu
0,0,0,0,0,0,0,0,0,0,1,0,0,0,Samburu
524,0,0,0,0,0,0,1,1,0,0,0,0,0,Trans Nzoia
591,1,0,1,0,0,0,0,0,0,0,0,0,0,Kisumu
4632,394,78,13,2,0,38,11,8,0,29,7,1,24,Nairobi
697,0,0,0,0,0,0,0,0,0,0,0,0,0,Migori
206,0,0,0,0,0,0,0,0,0,0,0,0,0,Migori
1269,0,0,0,0,0,0,0,0,0,0,0,0,0,Narok
0,0,0,0,0,0,0,0,0,0,2,0,0,0,Samburu
17639,63,15,2,5,0,7,0,0,0,2,1,0,3,Nairobi
402,24,2,1,7,0,9,5,2,0,8,4,0,3,Kiambu
208,17,2,0,3,0,1,1,1,0,1,0,0,1,Meru
402,0,0,0,0,0,0,0,0,0,0,0,0,0,Homa Bay
284,0,0,0,0,0,0,0,0,0,0,0,0,0,Kisumu
